50 1225
0 1 58
0 2 42
0 3 98
0 4 12
0 5 63
0 6 68
0 7 49
0 8 10
0 9 55
0 10 99
0 11 45
0 12 100
0 13 6
0 14 8
0 15 45
0 16 48
0 17 83
0 18 66
0 19 99
0 20 24
0 21 39
0 22 97
0 23 28
0 24 92
0 25 20
0 26 28
0 27 64
0 28 70
0 29 67
0 30 85
0 31 47
0 32 45
0 33 89
0 34 49
0 35 21
0 36 96
0 37 18
0 38 90
0 39 22
0 40 73
0 41 3
0 42 19
0 43 57
0 44 51
0 45 88
0 46 92
0 47 55
0 48 82
0 49 95
1 2 24
1 3 86
1 4 72
1 5 13
1 6 89
1 7 100
1 8 59
1 9 66
1 10 99
1 11 57
1 12 34
1 13 92
1 14 94
1 15 2
1 16 63
1 17 50
1 18 74
1 19 16
1 20 83
1 21 6
1 22 69
1 23 52
1 24 22
1 25 28
1 26 44
1 27 41
1 28 67
1 29 57
1 30 7
1 31 66
1 32 27
1 33 7
1 34 15
1 35 28
1 36 33
1 37 77
1 38 8
1 39 97
1 40 31
1 41 59
1 42 40
1 43 91
1 44 2
1 45 79
1 46 21
1 47 45
1 48 12
1 49 52
2 3 61
2 4 55
2 5 27
2 6 82
2 7 78
2 8 52
2 9 43
2 10 27
2 11 51
2 12 44
2 13 70
2 14 41
2 15 60
2 16 59
2 17 89
2 18 91
2 19 38
2 20 62
2 21 52
2 22 95
2 23 57
2 24 46
2 25 73
2 26 16
2 27 97
2 28 2
2 29 33
2 30 44
2 31 22
2 32 42
2 33 49
2 34 19
2 35 90
2 36 58
2 37 55
2 38 60
2 39 32
2 40 63
2 41 83
2 42 70
2 43 29
2 44 4
2 45 21
2 46 64
2 47 41
2 48 85
2 49 76
3 4 33
3 5 36
3 6 25
3 7 34
3 8 3
3 9 52
3 10 86
3 11 49
3 12 84
3 13 18
3 14 47
3 15 61
3 16 31
3 17 98
3 18 31
3 19 65
3 20 4
3 21 44
3 22 88
3 23 51
3 24 95
3 25 18
3 26 18
3 27 5
3 28 27
3 29 66
3 30 93
3 31 60
3 32 32
3 33 60
3 34 73
3 35 19
3 36 30
3 37 6
3 38 23
3 39 83
3 40 57
3 41 24
3 42 51
3 43 16
3 44 75
3 45 44
3 46 50
3 47 52
3 48 95
3 49 81
4 5 91
4 6 86
4 7 86
4 8 30
4 9 57
4 10 5
4 11 41
4 12 9
4 13 64
4 14 73
4 15 88
4 16 70
4 17 28
4 18 5
4 19 9
4 20 17
4 21 7
4 22 90
4 23 22
4 24 59
4 25 23
4 26 51
4 27 9
4 28 34
4 29 8
4 30 32
4 31 88
4 32 40
4 33 38
4 34 68
4 35 82
4 36 66
4 37 93
4 38 24
4 39 65
4 40 32
4 41 54
4 42 25
4 43 63
4 44 20
4 45 13
4 46 10
4 47 59
4 48 46
4 49 18
5 6 47
5 7 64
5 8 78
5 9 86
5 10 80
5 11 17
5 12 78
5 13 41
5 14 19
5 15 10
5 16 7
5 17 20
5 18 71
5 19 89
5 20 93
5 21 63
5 22 38
5 23 96
5 24 99
5 25 63
5 26 51
5 27 35
5 28 94
5 29 77
5 30 37
5 31 42
5 32 37
5 33 40
5 34 7
5 35 85
5 36 86
5 37 85
5 38 96
5 39 18
5 40 100
5 41 31
5 42 9
5 43 87
5 44 94
5 45 57
5 46 59
5 47 64
5 48 60
5 49 99
6 7 67
6 8 59
6 9 79
6 10 92
6 11 58
6 12 77
6 13 39
6 14 76
6 15 63
6 16 46
6 17 74
6 18 23
6 19 83
6 20 85
6 21 28
6 22 38
6 23 41
6 24 34
6 25 53
6 26 78
6 27 75
6 28 40
6 29 17
6 30 20
6 31 48
6 32 36
6 33 29
6 34 80
6 35 32
6 36 62
6 37 78
6 38 51
6 39 31
6 40 59
6 41 56
6 42 82
6 43 30
6 44 10
6 45 54
6 46 52
6 47 82
6 48 75
6 49 97
7 8 7
7 9 3
7 10 84
7 11 87
7 12 33
7 13 13
7 14 79
7 15 70
7 16 45
7 17 97
7 18 39
7 19 3
7 20 72
7 21 21
7 22 92
7 23 83
7 24 52
7 25 10
7 26 86
7 27 50
7 28 43
7 29 98
7 30 8
7 31 15
7 32 72
7 33 8
7 34 79
7 35 30
7 36 33
7 37 13
7 38 71
7 39 68
7 40 89
7 41 73
7 42 49
7 43 44
7 44 47
7 45 4
7 46 26
7 47 20
7 48 99
7 49 67
8 9 33
8 10 18
8 11 57
8 12 32
8 13 18
8 14 60
8 15 75
8 16 96
8 17 46
8 18 80
8 19 53
8 20 99
8 21 65
8 22 11
8 23 90
8 24 21
8 25 33
8 26 29
8 27 98
8 28 10
8 29 47
8 30 28
8 31 39
8 32 35
8 33 6
8 34 53
8 35 13
8 36 42
8 37 66
8 38 66
8 39 47
8 40 63
8 41 67
8 42 10
8 43 72
8 44 81
8 45 58
8 46 68
8 47 95
8 48 73
8 49 75
9 10 72
9 11 53
9 12 98
9 13 92
9 14 5
9 15 96
9 16 71
9 17 96
9 18 5
9 19 84
9 20 10
9 21 71
9 22 73
9 23 54
9 24 25
9 25 77
9 26 21
9 27 87
9 28 92
9 29 52
9 30 65
9 31 97
9 32 3
9 33 19
9 34 28
9 35 33
9 36 2
9 37 90
9 38 16
9 39 43
9 40 92
9 41 52
9 42 7
9 43 44
9 44 16
9 45 43
9 46 58
9 47 54
9 48 73
9 49 74
10 11 43
10 12 74
10 13 65
10 14 18
10 15 72
10 16 95
10 17 59
10 18 74
10 19 59
10 20 86
10 21 10
10 22 3
10 23 64
10 24 35
10 25 19
10 26 25
10 27 67
10 28 27
