100 4950
0 1 100
0 2 26
0 3 89
0 4 76
0 5 89
0 6 74
0 7 13
0 8 21
0 9 81
0 10 95
0 11 33
0 12 86
0 13 60
0 14 13
0 15 92
0 16 9
0 17 83
0 18 66
0 19 99
0 20 24
0 21 39
0 22 97
0 23 28
0 24 92
0 25 20
0 26 28
0 27 64
0 28 70
0 29 67
0 30 85
0 31 47
0 32 45
0 33 89
0 34 49
0 35 21
0 36 96
0 37 18
0 38 90
0 39 22
0 40 73
0 41 3
0 42 19
0 43 57
0 44 51
0 45 88
0 46 92
0 47 55
0 48 82
0 49 95
0 50 12
0 51 49
0 52 27
0 53 63
0 54 97
0 55 77
0 56 75
0 57 11
0 58 89
0 59 20
0 60 69
0 61 76
0 62 62
0 63 86
0 64 99
0 65 64
0 66 96
0 67 46
0 68 15
0 69 13
0 70 19
0 71 77
0 72 80
0 73 61
0 74 47
0 75 57
0 76 1
0 77 30
0 78 31
0 79 16
0 80 2
0 81 56
0 82 2
0 83 40
0 84 8
0 85 44
0 86 15
0 87 1
0 88 48
0 89 17
0 90 97
0 91 85
0 92 79
0 93 3
0 94 98
0 95 51
0 96 52
0 97 22
0 98 7
0 99 38
1 2 24
1 3 86
1 4 72
1 5 13
1 6 89
1 7 100
1 8 59
1 9 66
1 10 99
1 11 57
1 12 34
1 13 92
1 14 94
1 15 2
1 16 63
1 17 50
1 18 74
1 19 16
1 20 83
1 21 6
1 22 69
1 23 52
1 24 22
1 25 28
1 26 44
1 27 41
1 28 67
1 29 57
1 30 7
1 31 66
1 32 27
1 33 7
1 34 15
1 35 28
1 36 33
1 37 77
1 38 8
1 39 97
1 40 31
1 41 59
1 42 40
1 43 91
1 44 2
1 45 79
1 46 21
1 47 45
1 48 12
1 49 52
1 50 39
1 51 22
1 52 91
1 53 96
1 54 76
1 55 75
1 56 38
1 57 1
1 58 73
1 59 52
1 60 73
1 61 32
1 62 74
1 63 48
1 64 34
1 65 47
1 66 92
1 67 22
1 68 18
1 69 4
1 70 33
1 71 27
1 72 84
1 73 87
1 74 66
1 75 54
1 76 72
1 77 43
1 78 61
1 79 46
1 80 56
1 81 35
1 82 96
1 83 65
1 84 6
1 85 99
1 86 67
1 87 95
1 88 98
1 89 2
1 90 61
1 91 77
1 92 84
1 93 16
1 94 50
1 95 21
1 96 47
1 97 52
1 98 83
1 99 99
2 3 61
2 4 55
2 5 27
2 6 82
2 7 78
2 8 52
2 9 43
2 10 27
2 11 51
2 12 44
2 13 70
2 14 41
2 15 60
2 16 59
2 17 89
2 18 91
2 19 38
2 20 62
2 21 52
2 22 95
2 23 57
2 24 46
2 25 73
2 26 16
2 27 97
2 28 2
2 29 33
2 30 44
2 31 22
2 32 42
2 33 49
2 34 19
2 35 90
2 36 58
2 37 55
2 38 60
2 39 32
2 40 63
2 41 83
2 42 70
2 43 29
2 44 4
2 45 21
2 46 64
2 47 41
2 48 85
2 49 76
2 50 88
2 51 59
2 52 95
2 53 87
2 54 4
2 55 84
2 56 51
2 57 3
2 58 84
2 59 11
2 60 50
2 61 18
2 62 64
2 63 66
2 64 80
2 65 93
2 66 52
2 67 78
2 68 44
2 69 78
2 70 82
2 71 91
2 72 40
2 73 13
2 74 74
2 75 1
2 76 42
2 77 10
2 78 90
2 79 87
2 80 5
2 81 82
2 82 46
2 83 1
2 84 47
2 85 32
2 86 6
2 87 46
2 88 70
2 89 78
2 90 79
2 91 98
2 92 47
2 93 29
2 94 84
2 95 96
2 96 51
2 97 47
2 98 4
2 99 67
3 4 33
3 5 36
3 6 25
3 7 34
3 8 3
3 9 52
3 10 86
3 11 49
3 12 84
3 13 18
3 14 47
3 15 61
3 16 31
3 17 98
3 18 31
3 19 65
3 20 4
3 21 44
3 22 88
3 23 51
3 24 95
3 25 18
3 26 18
3 27 5
3 28 27
3 29 66
3 30 93
3 31 60
3 32 32
3 33 60
3 34 73
3 35 19
3 36 30
3 37 6
3 38 23
3 39 83
3 40 57
3 41 24
3 42 51
3 43 16
3 44 75
3 45 44
3 46 50
3 47 52
3 48 95
3 49 81
3 50 12
3 51 7
3 52 64
3 53 73
3 54 40
3 55 65
3 56 75
3 57 71
3 58 61
3 59 71
3 60 87
3 61 44
3 62 72
3 63 90
3 64 51
3 65 33
3 66 44
3 67 70
3 68 79
3 69 92
3 70 30
3 71 78
3 72 62
3 73 6
3 74 76
3 75 55
3 76 94
3 77 5
3 78 100
3 79 64
3 80 96
3 81 23
3 82 67
3 83 54
3 84 64
3 85 10
3 86 82
3 87 2
3 88 68
3 89 51
3 90 44
3 91 50
3 92 31
3 93 61
3 94 62
3 95 99
3 96 3
3 97 46
3 98 82
3 99 22
4 5 91
4 6 86
4 7 86
4 8 30
4 9 57
4 10 5
4 11 41
4 12 9
4 13 64
4 14 73
